"trial_type","trial_index","plugin_version","time_elapsed","phase","rt","stimulus","response","consented","required_key","view_history","question_order","success","timeout","failed_images","failed_audio","failed_video","set_size","distractor_type","block","stimuli_list","correct","locations","target_present","break_key"
"visual-search-circle","106","2.2.0","284104","visual_search_trial","790","","j","","","","","","","","","","null","blue_triangle","4","[""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png""]","true","[[107,248],[223,201],[240,78],[142,1],[26,48],[9,171]]","false",""
"visual-search-circle","107","2.2.0","286306","visual_search_trial","696","","f","","","","","","","","","","null","blue_triangle","5","[""images/Red_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png""]","true","[[153,246],[244,161],[216,39],[96,3],[5,88],[33,210]]","true",""
"visual-search-circle","108","2.2.0","288598","visual_search_trial","787","","f","","","","","","","","","","null","red_circle","5","[""images/Red_Triangle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png""]","true","[[247,99],[163,6],[41,32],[2,150],[86,243],[208,217]]","true",""
"visual-search-circle","109","2.2.0","291132","visual_search_trial","1027","","j","","","","","","","","","","null","red_blue_mix","5","[""images/Blue_Triangle.png"",""images/Blue_Circle.png"",""images/Blue_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Blue_Triangle.png""]","true","[[133,0],[21,55],[12,179],[116,249],[228,194],[237,70]]","false",""
"visual-search-circle","110","2.2.0","293255","visual_search_trial","619","","f","","","","","","","","","","null","red_circle","5","[""images/Red_Triangle.png"",""images/Red_Circle.png"",""images/Red_Circle.png""]","true","[[3,155],[211,214],[159,4]]","true",""
"visual-search-circle","111","2.2.0","295419","visual_search_trial","659","","j","","","","","","","","","","null","blue_triangle","5","[""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png""]","true","[[5,161],[216,210],[153,3]]","false",""
"visual-search-circle","112","2.2.0","297469","visual_search_trial","543","","j","","","","","","","","","","null","red_circle","5","[""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png""]","true","[[36,213],[157,245],[245,157],[213,36],[92,4],[4,92]]","false",""
"visual-search-circle","113","2.2.0","299560","visual_search_trial","584","","j","","","","","","","","","","null","blue_triangle","5","[""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png""]","true","[[1,144],[42,219],[122,249],[203,222],[247,148],[234,64],[169,8],[84,6],[17,60]]","false",""
"visual-search-circle","114","2.2.0","301795","visual_search_trial","727","","f","","","","","","","","","","null","red_circle","5","[""images/Red_Triangle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png""]","true","[[243,165],[241,80],[185,15],[101,2],[27,46],[0,127],[30,207],[105,248],[189,232]]","true",""
"visual-search-circle","115","2.2.0","304263","visual_search_trial","961","","f","","","","","","","","","","null","red_blue_mix","5","[""images/Red_Triangle.png"",""images/Blue_Circle.png"",""images/Blue_Triangle.png"",""images/Blue_Circle.png"",""images/Blue_Circle.png"",""images/Red_Circle.png"",""images/Blue_Triangle.png"",""images/Blue_Circle.png"",""images/Blue_Triangle.png""]","true","[[175,239],[237,179],[246,94],[198,23],[116,0],[38,35],[0,111],[21,194],[90,245]]","true",""
"visual-search-circle","116","2.2.0","306660","visual_search_trial","892","","f","","","","","","","","","","null","blue_triangle","5","[""images/Red_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png""]","true","[[249,135],[72,11],[53,227]]","true",""
"visual-search-circle","117","2.2.0","309405","visual_search_trial","1240","","j","","","","","","","","","","null","red_blue_mix","5","[""images/Blue_Circle.png"",""images/Blue_Triangle.png"",""images/Blue_Circle.png""]","true","[[165,6],[2,148],[207,219]]","false",""
"visual-search-circle","118","2.2.0","311464","visual_search_trial","556","","j","","","","","","","","","","null","red_circle","5","[""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png""]","true","[[169,241],[203,27],[1,105]]","false",""
"visual-search-circle","119","2.2.0","313705","visual_search_trial","735","","f","","","","","","","","","","null","red_blue_mix","5","[""images/Red_Triangle.png"",""images/Blue_Circle.png"",""images/Blue_Circle.png""]","true","[[90,4],[38,214],[246,155]]","true",""
"visual-search-circle","120","2.2.0","315605","visual_search_trial","394","","j","","","","","","","","","","null","blue_triangle","5","[""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png""]","true","[[9,171],[107,248],[223,201],[240,78],[142,1],[26,48]]","false",""
"visual-search-circle","121","2.2.0","318023","visual_search_trial","913","","j","","","","","","","","","","null","red_blue_mix","5","[""images/Red_Circle.png"",""images/Blue_Circle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Circle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Red_Circle.png"",""images/Blue_Triangle.png""]","true","[[1,107],[18,191],[86,243],[171,240],[235,183],[247,99],[201,26],[120,0],[41,32]]","false",""
"visual-search-circle","122","2.2.0","320333","visual_search_trial","802","","f","","","","","","","","","","null","blue_triangle","5","[""images/Red_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png""]","true","[[155,3],[70,12],[10,74],[4,159],[55,228],[138,249],[214,211],[249,133],[226,51]]","true",""
"visual-search-circle","123","2.2.0","322691","visual_search_trial","852","","f","","","","","","","","","","null","red_blue_mix","5","[""images/Red_Triangle.png"",""images/Blue_Circle.png"",""images/Blue_Triangle.png"",""images/Red_Circle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png""]","true","[[247,99],[163,6],[41,32],[2,150],[86,243],[208,217]]","true",""
"visual-search-circle","124","2.2.0","324735","visual_search_trial","536","","j","","","","","","","","","","null","red_circle","5","[""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png""]","true","[[135,249],[213,213],[249,135],[227,53],[157,4],[72,11],[11,72],[4,157],[53,227]]","false",""
"html-keyboard-response","125","2.1.0","326753","break","2016","<p>Great job so far! Please rest for a few seconds before continuing.</p>
                 <p>Press the <strong>D</strong> key on your keyboard to continue.</p>","d","","","","","","","","","","","","","","","","","D"
"visual-search-circle","126","2.2.0","328755","visual_search_trial","496","","j","","","","","","","","","","null","blue_triangle","6","[""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png""]","true","[[228,194],[237,70],[133,0],[21,55],[12,179],[116,249]]","false",""
